"Date","Mean daily temperature, Fisher River near Dallas, Jan 01, 1988 to Dec 31, 1991"
"1989-02-13",14.98
"1989-02-14",14.18
"1989-02-15",15.13
"1989-02-16",16.55
"1989-02-17",17.75
"1989-02-18",18.15
"1989-02-19",17.6
"1989-02-20",18.27
"1989-02-21",19.4
"1989-02-22",20.95
"1989-02-23",21.55
"1989-02-24",20.1
"1989-02-25",18.4
"1989-02-26",17.6
"1989-02-27",16.7
"1989-02-28",16.2
"1989-03-01",17.7
"1989-03-02",18.98
"1989-03-03",19.73
"1989-03-04",19.6
"1989-03-05",20.18
"1989-03-06",21.23
"1989-03-07",20.8
"1989-03-08",19.27
"1989-03-09",18.08
"1989-03-10",16.08
"1989-03-11",13.83
"1989-03-12",11.65
"1989-03-13",9.9
"1989-03-14",9.43
"1989-03-15",9.45
"1989-03-16",9.8
"1989-03-17",10.93
"1989-03-18",12.5
"1989-03-19",13.7
"1989-03-20",15.4
"1989-03-21",16.3
"1989-03-22",16.52
"1989-03-23",16.48
"1989-03-24",15.13
"1989-03-25",13.4
"1989-03-26",11.68
"1989-03-27",10.23
"1989-03-28",8.85
"1989-03-29",7.7
"1989-03-30",6.7
"1989-03-31",5.75
"1989-04-01",4.9
"1989-04-02",3.93
"1989-04-03",3.53
"1989-04-04",3.05
"1989-04-05",2.93
"1989-04-06",2.53
"1989-04-07",2.33
"1989-04-08",2.58
"1989-04-09",2.78
"1989-04-10",2.48
"1989-04-11",2.88
"1989-04-12",3.4
"1989-04-13",3.2
"1989-04-14",3.35
"1989-04-15",2.65
"1989-04-16",2.65
"1989-04-17",2.45
"1989-04-18",1.6
"1989-04-19",0.7
"1989-04-20",0.1
"1989-04-21",1.5
"1989-04-22",2.83
"1989-04-23",4.03
"1989-04-24",4.53
"1989-04-25",4.43
"1989-04-26",4.78
"1989-04-27",5.18
"1989-04-28",5.45
"1989-04-29",5.85
"1989-04-30",5.85
"1989-05-01",5.63
"1989-05-02",5.45
"1989-05-03",4.75
"1989-05-04",5
"1989-05-05",4.05
"1989-05-06",3.8
"1989-05-07",5.2
"1989-05-08",6.15
"1989-05-09",6.65
"1989-05-10",7.35
"1989-05-11",8.57
"1989-05-12",9.93
"1989-05-13",10.98
"1989-05-14",11.78
"1989-05-15",14.05
"1989-05-16",16.13
"1989-05-17",16.68
"1989-05-18",17.35
"1989-05-19",17.75
"1989-05-20",17.6
"1989-05-21",17.15
"1989-05-22",16
"1989-05-23",15.18
"1989-05-24",14.48
"1989-05-25",13.3
"1989-05-26",12.13
"1989-05-27",11.23
"1989-05-28",10.03
"1989-05-29",9.2
"1989-05-30",9.45
"1989-05-31",9.2
"1989-06-01",9.6
"1989-06-02",9.63
"1989-06-03",9.73
"1989-06-04",9.68
"1989-06-05",10.33
"1989-06-06",10.18
"1989-06-07",10.6
"1989-06-08",10.88
"1989-06-09",10.63
"1989-06-10",10.83
"1989-06-11",11.08
"1989-06-12",11.38
"1989-06-13",11.55
"1989-06-14",12.25
"1989-06-15",12.35
"1989-06-16",13.15
"1989-06-17",14.05
"1989-06-18",14.95
"1989-06-19",15.78
"1989-06-20",16.58
"1989-06-21",16.68
"1989-06-22",17.13
"1989-06-23",17.35
"1989-06-24",17.65
"1989-06-25",17.9
"1989-06-26",17.55
"1989-06-27",17.13
"1989-06-28",16.85
"1989-06-29",16.83
"1989-06-30",16.63
"1989-07-01",17.27
"1989-07-02",17.73
"1989-07-03",18.48
"1989-07-04",19.13
"1989-07-05",19.43
"1989-07-06",19.63
"1989-07-07",19.93
"1989-07-08",20.48
"1989-07-09",20.43
"1989-07-10",20.23
"1989-07-11",19.77
"1989-07-12",19.4
"1989-07-13",19
"1989-07-14",18.65
"1989-07-15",18.45
"1989-07-16",18.73
"1989-07-17",19.05
"1989-07-18",19.02
"1989-07-19",19.27
"1989-07-20",19.93
"1989-07-21",20.43
"1989-07-22",21.05
"1989-07-23",21.8
"1989-07-24",22.6
"1989-07-25",23.35
"1989-07-26",23.78
"1989-07-27",23.25
"1989-07-28",22.93
"1989-07-29",22.55
"1989-07-30",22
"1989-07-31",21.45
"1989-08-01",21.35
"1989-08-02",21.3
"1989-08-03",21.05
"1989-08-04",20.4
"1989-08-05",19.5
"1989-08-06",19.25
"1989-08-07",19.23
"1989-08-08",19.4
"1989-08-09",19.55
"1989-08-10",19.75
"1989-08-11",19.58
"1989-08-12",19.13
"1989-08-13",18.13
"1989-08-14",17.48
"1989-08-15",17.25
"1989-08-16",17.3
"1989-08-17",17.33
"1989-08-18",17.33
"1989-08-19",16.88
"1989-08-20",15.88
"1989-08-21",14.9
"1989-08-22",14.45
"1989-08-23",15.15
"1989-08-24",16
"1989-08-25",16.83
"1989-08-26",17.27
"1989-08-27",17.35
"1989-08-28",16.85
"1989-08-29",16.5
"1989-08-30",16.55
"1989-08-31",16.5
"1989-09-01",16.1
"1989-09-02",15.4
"1989-09-03",14.85
"1989-09-04",14.45
"1989-09-05",14.28
"1989-09-06",14.2
"1989-09-07",14.38
"1989-09-08",14.48
"1989-09-09",14.23
"1989-09-10",13.63
"1989-09-11",13.18
"1989-09-12",12.48
"1989-09-13",11.93
"1989-09-14",11.48
"1989-09-15",11.25
"1989-09-16",10.73
"1989-09-17",10.35
"1989-09-18",10.28
"1989-09-19",10.5
"1989-09-20",11
"1989-09-21",10.98
"1989-09-22",10.6
"1989-09-23",9.95
"1989-09-24",9.4
"1989-09-25",8.5
"1989-09-26",7.85
"1989-09-27",7.7
"1989-09-28",7.53
"1989-09-29",7.05
"1989-09-30",6.95
"1989-10-01",6.55
"1989-10-02",6.18
"1989-10-03",5.83
"1989-10-04",5.43
"1989-10-05",5.18
"1989-10-06",5.03
"1989-10-07",4
"1989-10-08",2.98
"1989-10-09",2.98
"1989-10-10",2.83
"1989-10-11",3.38
"1989-10-12",4.28
"1989-10-13",4.35
"1989-10-14",4.15
"1989-10-15",4.03
"1989-10-16",3.68
"1989-10-17",3.75
"1989-10-18",3.63
"1989-10-19",3.33
"1989-10-20",3
"1989-10-21",2.58
"1989-10-22",2.88
"1989-10-23",3.65
"1989-10-24",4.47
"1989-10-25",5.45
"1989-10-26",6.23
"1989-10-27",6.98
"1989-10-28",7.23
"1989-10-29",6.93
"1989-10-30",6.1
"1989-10-31",5.2
"1989-11-01",3.43
"1989-11-02",0.88
"1989-11-03",0.7
"1989-11-04",2.28
"1989-11-05",3.43
"1989-11-06",4.58
"1989-11-07",4.97
"1989-11-08",5.33
"1989-11-09",5.38
"1989-11-10",5.23
"1989-11-11",5.1
"1989-11-12",4.18
"1989-11-13",4.03
"1989-11-14",4.55
"1989-11-15",5.83
"1989-11-16",7.58
"1989-11-17",9.3
"1989-11-18",10.35
"1989-11-19",9.85
"1989-11-20",10
"1989-11-21",10.65
"1989-11-22",11.28
"1989-11-23",12.73
"1989-11-24",13.43
"1989-11-25",13.28
"1989-11-26",12.88
"1989-11-27",13.18
"1989-11-28",13.53
"1989-11-29",15.03
"1989-11-30",14.83
"1989-12-01",14.43
"1989-12-02",14.53
"1989-12-03",13.93
"1989-12-04",13.03
"1989-12-05",12.43
"1989-12-06",13.03
"1989-12-07",12.85
"1989-12-08",12.95
"1989-12-09",13.4
"1989-12-10",15.58
"1989-12-11",17.73
"1989-12-12",19.27
"1989-12-13",21.08
"1989-12-14",23.3
"1989-12-15",25
"1989-12-16",24.95
"1989-12-17",25.75
"1989-12-18",27.2
"1989-12-19",28.7
"1989-12-20",29.78
"1989-12-21",30.18
"1989-12-22",30.08
"1989-12-23",29.08
"1989-12-24",27.45
"1989-12-25",26.9
"1989-12-26",26.65
"1989-12-27",25.45
"1989-12-28",24.23
"1989-12-29",23.08
"1989-12-30",21.05
"1989-12-31",19.23
"1990-01-01",17.73
"1990-01-02",16.58
"1990-01-03",16.98
"1990-01-04",17.38
"1990-01-05",17.77
"1990-01-06",17.68
"1990-01-07",16.7
"1990-01-08",15.5
"1990-01-09",14.93
"1990-01-10",14.05
"1990-01-11",13.5
"1990-01-12",14.18
"1990-01-13",14.08
"1990-01-14",12.83
"1990-01-15",11.58
"1990-01-16",11.03
"1990-01-17",11.08
"1990-01-18",11.88
"1990-01-19",12.83
"1990-01-20",13.88
"1990-01-21",13.98
"1990-01-22",13.4
"1990-01-23",12.95
"1990-01-24",12.9
"1990-01-25",12.55
"1990-01-26",12.6
"1990-01-27",13.15
"1990-01-28",14.1
"1990-01-29",14.6
"1990-01-30",16
"1990-01-31",17.98
"1990-02-01",20.08
"1990-02-02",21.83
"1990-02-03",22.4
"1990-02-04",22.8
"1990-02-05",22.85
"1990-02-06",21.83
"1990-02-07",19.68
"1990-02-08",18.48
"1990-02-09",16.77
"1990-02-10",16.15
"1990-02-11",14.55
"1990-02-12",12.85
"1990-02-13",13.73
"1990-02-14",15.15
"1990-02-15",16.55
"1990-02-16",18.77
"1990-02-17",20.68
"1990-02-18",21.83
"1990-02-19",22.18
"1990-02-20",20.8
"1990-02-21",19.6
"1990-02-22",19.95
"1990-02-23",19.35
"1990-02-24",19.43
"1990-02-25",18.93
"1990-02-26",17.48
"1990-02-27",16.43
"1990-02-28",14.63
"1990-03-01",13.43
"1990-03-02",13.7
"1990-03-03",14.85
"1990-03-04",15.13
"1990-03-05",14.75
"1990-03-06",13.4
"1990-03-07",11.9
"1990-03-08",10.45
"1990-03-09",8.75
"1990-03-10",8.5
"1990-03-11",8.15
"1990-03-12",6.6
"1990-03-13",4.95
"1990-03-14",3.13
"1990-03-15",1.45
"1990-03-16",0.6
"1990-03-17",0.6
"1990-03-18",1.55
"1990-03-19",2.4
"1990-03-20",2.9
"1990-03-21",3.5
"1990-03-22",5.2
"1990-03-23",6.6
"1990-03-24",7.8
"1990-03-25",8.9
"1990-03-26",9.75
"1990-03-27",10.4
"1990-03-28",10.43
"1990-03-29",10.05
"1990-03-30",8.95
"1990-03-31",7.9
"1990-04-01",7.25
"1990-04-02",6.38
"1990-04-03",5.55
"1990-04-04",5.23
"1990-04-05",4.78
"1990-04-06",4.28
"1990-04-07",3.58
"1990-04-08",3.48
"1990-04-09",4.03
"1990-04-10",5.13
"1990-04-11",4.97
"1990-04-12",4.53
"1990-04-13",4.4
"1990-04-14",3.8
"1990-04-15",2.88
"1990-04-16",2.63
"1990-04-17",2.35
"1990-04-18",1.63
"1990-04-19",0.57
"1990-04-20",1.05
"1990-04-21",2.65
"1990-04-22",4.25
"1990-04-23",6.25
"1990-04-24",7.33
"1990-04-25",7.9
"1990-04-26",8.1
"1990-04-27",7.55
"1990-04-28",6.5
"1990-04-29",5.18
"1990-04-30",3.95
"1990-05-01",2.83
"1990-05-02",1.13
"1990-05-03",0.28
"1990-05-04",0.68
"1990-05-05",0.63
"1990-05-06",1.02
"1990-05-07",2.23
"1990-05-08",2.88
"1990-05-09",3.55
"1990-05-10",4.65
"1990-05-11",5.23
"1990-05-12",5.7
"1990-05-13",6.1
"1990-05-14",6.1
"1990-05-15",6.08
"1990-05-16",5.18
"1990-05-17",4.47
"1990-05-18",4.78
"1990-05-19",5.35
"1990-05-20",5.85
"1990-05-21",6.7
"1990-05-22",7.65
"1990-05-23",8.2
"1990-05-24",9.15
"1990-05-25",10.03
"1990-05-26",10.98
"1990-05-27",12.68
"1990-05-28",13.53
"1990-05-29",14.1
"1990-05-30",14.3
"1990-05-31",14.83
"1990-06-01",15.58
"1990-06-02",14.83
"1990-06-03",14.08
"1990-06-04",13.48
"1990-06-05",13.5
"1990-06-06",13.3
"1990-06-07",13.6
"1990-06-08",13.8
"1990-06-09",13.8
"1990-06-10",13.65
"1990-06-11",13.35
"1990-06-12",14.55
"1990-06-13",15.3
"1990-06-14",15.35
"1990-06-15",15.13
"1990-06-16",15.03
"1990-06-17",15.18
"1990-06-18",15.48
"1990-06-19",15.98
"1990-06-20",16.15
"1990-06-21",16
"1990-06-22",15.73
"1990-06-23",15.8
"1990-06-24",16.85
"1990-06-25",17.8
"1990-06-26",18.2
"1990-06-27",18.3
"1990-06-28",18.38
"1990-06-29",18.13
"1990-06-30",17.88
"1990-07-01",18.33
"1990-07-02",19
"1990-07-03",19.08
"1990-07-04",18.38
"1990-07-05",17.48
"1990-07-06",17.02
"1990-07-07",16.75
"1990-07-08",16.48
"1990-07-09",16.38
"1990-07-10",16.02
"1990-07-11",15.58
"1990-07-12",15.05
"1990-07-13",15.08
"1990-07-14",15.73
"1990-07-15",16.18
"1990-07-16",16.48
"1990-07-17",16.8
"1990-07-18",16.77
"1990-07-19",16.8
"1990-07-20",16.85
"1990-07-21",16.63
"1990-07-22",16.6
"1990-07-23",16.73
"1990-07-24",16.73
"1990-07-25",17.02
"1990-07-26",17.63
"1990-07-27",17.93
"1990-07-28",18.13
"1990-07-29",18.05
"1990-07-30",18.1
"1990-07-31",18.4
"1990-08-01",18.9
"1990-08-02",19.4
"1990-08-03",19.35
"1990-08-04",18.73
"1990-08-05",18.23
"1990-08-06",17.88
"1990-08-07",18.25
"1990-08-08",19
"1990-08-09",19.2
"1990-08-10",18.65
"1990-08-11",18.15
"1990-08-12",17.23
"1990-08-13",17.33
"1990-08-14",17.3
"1990-08-15",16.9
"1990-08-16",16.73
"1990-08-17",15.68
"1990-08-18",15.03
"1990-08-19",15.08
"1990-08-20",15.5
"1990-08-21",15.85
"1990-08-22",16.73
"1990-08-23",17.08
"1990-08-24",17.58
"1990-08-25",17.83
"1990-08-26",17.6
"1990-08-27",18.08
"1990-08-28",17.98
"1990-08-29",18.08
"1990-08-30",18.23
"1990-08-31",18.58
"1990-09-01",17.48
"1990-09-02",16.73
"1990-09-03",16.38
"1990-09-04",16.13
"1990-09-05",16.52
"1990-09-06",16.25
"1990-09-07",15.85
"1990-09-08",15.45
"1990-09-09",14.65
"1990-09-10",13.43
"1990-09-11",13.73
"1990-09-12",13.18
"1990-09-13",12.53
"1990-09-14",12.43
"1990-09-15",11.48
"1990-09-16",10.63
"1990-09-17",10.33
"1990-09-18",10.03
"1990-09-19",9.8
"1990-09-20",9.55
"1990-09-21",8.7
"1990-09-22",8.25
"1990-09-23",8.28
"1990-09-24",8.48
"1990-09-25",9
"1990-09-26",9.8
"1990-09-27",9.8
"1990-09-28",9.35
"1990-09-29",8.93
"1990-09-30",8.45
"1990-10-01",8.55
"1990-10-02",8.7
"1990-10-03",8.48
"1990-10-04",7.55
"1990-10-05",6.03
"1990-10-06",4.93
"1990-10-07",4.18
"1990-10-08",3.88
"1990-10-09",4.08
"1990-10-10",4.33
"1990-10-11",4.15
"1990-10-12",3.55
"1990-10-13",3.43
"1990-10-14",3.13
"1990-10-15",3.23
"1990-10-16",2.93
"1990-10-17",2.68
"1990-10-18",2.35
"1990-10-19",2.05
"1990-10-20",1.75
"1990-10-21",1.33
"1990-10-22",1.48
"1990-10-23",1
"1990-10-24",0.83
"1990-10-25",1.27
"1990-10-26",2.48
"1990-10-27",2.93
"1990-10-28",2.83
"1990-10-29",2.78
"1990-10-30",2.78
"1990-10-31",3.35
"1990-11-01",3.63
"1990-11-02",3.48
"1990-11-03",3.2
"1990-11-04",2.28
"1990-11-05",1
"1990-11-06",0.15
"1990-11-07",0.38
"1990-11-08",0.43
"1990-11-09",1.18
"1990-11-10",2.75
"1990-11-11",4.53
"1990-11-12",5.53
"1990-11-13",5.58
"1990-11-14",5.05
"1990-11-15",4.75
"1990-11-16",4.13
"1990-11-17",3.28
"1990-11-18",3.48
"1990-11-19",3.43
"1990-11-20",2.63
"1990-11-21",1.02
"1990-11-22",1.08
"1990-11-23",2.13
"1990-11-24",3.83
"1990-11-25",5.93
"1990-11-26",7.3
"1990-11-27",8.9
"1990-11-28",10.7
"1990-11-29",11.25
"1990-11-30",12.05
"1990-12-01",14.2
"1990-12-02",15.45
"1990-12-03",16.13
"1990-12-04",15.33
"1990-12-05",14.13
"1990-12-06",13.78
"1990-12-07",13
"1990-12-08",11.4
"1990-12-09",10.53
"1990-12-10",10.63
"1990-12-11",9.73
"1990-12-12",8.13
"1990-12-13",7.88
"1990-12-14",8.57
"1990-12-15",9.2
"1990-12-16",9.45
"1990-12-17",11.28
"1990-12-18",13.45
"1990-12-19",16.08
"1990-12-20",18.08
"1990-12-21",20.53
"1990-12-22",22.78
"1990-12-23",23.25
"1990-12-24",24.45
"1990-12-25",26.2
"1990-12-26",27.65
"1990-12-27",27.33
"1990-12-28",27.2
"1990-12-29",27.55
"1990-12-30",27.7
"1990-12-31",27.5
"1991-01-01",27.6
"1991-01-02",28.03
"1991-01-03",27.78
"1991-01-04",26.58
"1991-01-05",26.21
"1991-01-06",27.43
"1991-01-07",28.13
"1991-01-08",27.98
"1991-01-09",28.23
"1991-01-10",27.93
"1991-01-11",27.43
"1991-01-12",26.91
"1991-01-13",26.46
"1991-01-14",26.16
"1991-01-15",25.18
"1991-01-16",22.63
"1991-01-17",20.68
"1991-01-18",18.33
"1991-01-19",16.38
"1991-01-20",16.41
"1991-01-21",15.96
"1991-01-22",15.73
"1991-01-23",16.28
"1991-01-24",17.53
"1991-01-25",18.23
"1991-01-26",19.81
"1991-01-27",21.26
"1991-01-28",23.71
"1991-01-29",25.06
"1991-01-30",24.68
"1991-01-31",24.98
"1991-02-01",24.23
"1991-02-02",21.83
"1991-02-03",18.73
"1991-02-04",16.73
"1991-02-05",14.27
"1991-02-06",11.37
"1991-02-07",8.27
"1991-02-08",5.52
"1991-02-09",4.02
"1991-02-10",3.47
"1991-02-11",3.77
"1991-02-12",4.8
"1991-02-13",6.35
"1991-02-14",8.68
"1991-02-15",10.86
"1991-02-16",12.46
"1991-02-17",14.01
"1991-02-18",14.91
"1991-02-19",14.66
"1991-02-20",13.26
"1991-02-21",13.11
"1991-02-22",14.21
"1991-02-23",14.96
"1991-02-24",14.28
"1991-02-25",13.93
"1991-02-26",13.83
"1991-02-27",14.28
"1991-02-28",15.13
"1991-03-01",16.53
"1991-03-02",18.46
"1991-03-03",18.66
"1991-03-04",17.38
"1991-03-05",16.43
"1991-03-06",16.83
"1991-03-07",17.31
"1991-03-08",17.56
"1991-03-09",16.71
"1991-03-10",15.51
"1991-03-11",13.51
"1991-03-12",11.38
"1991-03-13",10.13
"1991-03-14",9.28
"1991-03-15",8.56
"1991-03-16",6.71
"1991-03-17",4.83
