habitat,cap-surface,cap-shape,cap-color,stalk-color-above-ring,stalk-shape,ring-number,odor,gill-attachment,veil-color,stalk-surface-below-ring,gill-spacing,spore-print-color,gill-color,class,population,stalk-color-below-ring,ring-type,bruises,stalk-surface-above-ring,veil-type,stalk-root,gill-size
urban,fibrous,sunken,gray,white,enlarging,one,none,free,white,smooth,close,brown,black,edible,solitary,white,pendant,false,smooth,partial,equal,narrow
grasses,fibrous,flat,white,white,tapering,one,none,free,white,smooth,crowded,brown,black,edible,abundant,white,evanescent,false,smooth,partial,equal,broad
grasses,smooth,convex,brown,white,enlarging,one,pungent,free,white,smooth,close,black,brown,poisonous,scattered,white,pendant,true,smooth,partial,equal,narrow
urban,scaly,convex,white,white,enlarging,one,pungent,free,white,smooth,close,brown,brown,poisonous,scattered,white,pendant,true,smooth,partial,equal,narrow
urban,smooth,convex,brown,white,enlarging,one,pungent,free,white,smooth,close,brown,black,poisonous,scattered,white,pendant,true,smooth,partial,equal,narrow
meadows,smooth,bell,yellow,white,enlarging,one,almond,free,white,smooth,close,brown,black,edible,scattered,white,pendant,true,smooth,partial,club,broad
grasses,scaly,convex,brown,white,enlarging,one,pungent,free,white,smooth,close,brown,brown,poisonous,several,white,pendant,true,smooth,partial,equal,narrow
meadows,scaly,bell,yellow,white,enlarging,one,anise,free,white,smooth,close,brown,black,edible,scattered,white,pendant,true,smooth,partial,club,broad
meadows,scaly,bell,white,white,enlarging,one,almond,free,white,smooth,close,brown,white,edible,numerous,white,pendant,true,smooth,partial,club,broad
meadows,smooth,bell,white,white,enlarging,one,anise,free,white,smooth,close,black,gray,edible,scattered,white,pendant,true,smooth,partial,club,broad
grasses,smooth,flat,white,white,enlarging,one,pungent,free,white,smooth,close,brown,brown,poisonous,several,white,pendant,true,smooth,partial,equal,narrow
meadows,scaly,convex,yellow,white,enlarging,one,almond,free,white,smooth,close,brown,brown,edible,numerous,white,pendant,true,smooth,partial,club,broad
meadows,scaly,convex,white,white,enlarging,one,anise,free,white,smooth,close,brown,white,edible,numerous,white,pendant,true,smooth,partial,club,broad
urban,fibrous,flat,brown,white,enlarging,one,none,free,white,smooth,close,black,black,edible,solitary,white,pendant,false,smooth,partial,equal,narrow
woods,smooth,convex,yellow,white,tapering,one,almond,free,white,smooth,crowded,brown,brown,edible,several,white,pendant,true,smooth,partial,bulbous,narrow
meadows,smooth,bell,yellow,white,enlarging,one,anise,free,white,smooth,close,brown,gray,edible,numerous,white,pendant,true,smooth,partial,club,broad
urban,scaly,convex,white,white,enlarging,one,pungent,free,white,smooth,close,brown,black,poisonous,scattered,white,pendant,true,smooth,partial,equal,narrow
meadows,scaly,convex,yellow,white,enlarging,one,anise,free,white,smooth,close,brown,brown,edible,numerous,white,pendant,true,smooth,partial,club,broad
paths,scaly,convex,brown,white,enlarging,one,anise,free,white,scaly,close,brown,pink,edible,solitary,white,pendant,true,smooth,partial,rooted,broad
meadows,scaly,bell,yellow,white,enlarging,one,anise,free,white,smooth,close,brown,brown,edible,scattered,white,pendant,true,smooth,partial,club,broad
woods,fibrous,convex,yellow,white,tapering,one,anise,free,white,smooth,crowded,brown,white,edible,several,white,pendant,true,smooth,partial,bulbous,narrow
urban,fibrous,sunken,gray,white,enlarging,one,none,free,white,smooth,close,black,black,edible,several,white,pendant,false,smooth,partial,equal,narrow
urban,scaly,convex,brown,white,enlarging,one,pungent,free,white,smooth,close,brown,white,poisonous,scattered,white,pendant,true,smooth,partial,equal,narrow
woods,fibrous,convex,yellow,white,tapering,one,almond,free,white,smooth,crowded,brown,pink,edible,several,white,pendant,true,smooth,partial,bulbous,narrow
meadows,smooth,bell,yellow,white,enlarging,one,anise,free,white,smooth,close,black,black,edible,scattered,white,pendant,true,smooth,partial,club,broad
grasses,scaly,bell,yellow,white,enlarging,one,almond,free,white,smooth,close,brown,brown,edible,scattered,white,pendant,true,smooth,partial,club,broad
paths,scaly,convex,yellow,white,enlarging,one,anise,free,white,scaly,close,black,brown,edible,solitary,white,pendant,true,smooth,partial,rooted,broad
urban,fibrous,convex,brown,white,enlarging,one,none,free,white,smooth,close,black,gray,edible,solitary,white,pendant,false,smooth,partial,equal,narrow
grasses,scaly,convex,white,white,enlarging,one,pungent,free,white,smooth,close,brown,pink,poisonous,several,white,pendant,true,smooth,partial,equal,narrow
meadows,smooth,convex,yellow,white,enlarging,one,almond,free,white,smooth,close,black,white,edible,numerous,white,pendant,true,smooth,partial,club,broad
grasses,scaly,convex,white,white,enlarging,one,almond,free,white,smooth,close,brown,brown,edible,numerous,white,pendant,true,smooth,partial,club,broad
meadows,scaly,convex,yellow,white,enlarging,one,anise,free,white,smooth,close,black,black,edible,scattered,white,pendant,true,smooth,partial,club,broad
meadows,smooth,convex,white,white,enlarging,one,anise,free,white,smooth,close,brown,white,edible,numerous,white,pendant,true,smooth,partial,club,broad
paths,scaly,convex,yellow,white,enlarging,one,anise,free,white,scaly,close,brown,brown,edible,scattered,white,pendant,true,smooth,partial,rooted,broad
paths,scaly,flat,yellow,white,enlarging,one,anise,free,white,scaly,close,black,white,edible,scattered,white,pendant,true,smooth,partial,rooted,broad
grasses,scaly,convex,brown,white,enlarging,one,almond,free,white,scaly,close,black,white,edible,scattered,white,pendant,true,smooth,partial,rooted,broad
grasses,smooth,convex,white,white,enlarging,one,anise,free,white,smooth,close,black,black,edible,scattered,white,pendant,true,smooth,partial,club,broad
meadows,smooth,bell,white,white,enlarging,one,anise,free,white,smooth,close,brown,black,edible,numerous,white,pendant,true,smooth,partial,club,broad
urban,scaly,convex,brown,white,enlarging,one,pungent,free,white,smooth,close,brown,black,poisonous,several,white,pendant,true,smooth,partial,equal,narrow
urban,smooth,convex,white,white,enlarging,one,pungent,free,white,smooth,close,black,black,poisonous,several,white,pendant,true,smooth,partial,equal,narrow
meadows,scaly,bell,yellow,white,enlarging,one,almond,free,white,smooth,close,black,white,edible,scattered,white,pendant,true,smooth,partial,club,broad
grasses,fibrous,flat,gray,white,tapering,one,none,free,white,smooth,crowded,brown,brown,edible,abundant,white,evanescent,false,smooth,partial,equal,broad
grasses,smooth,bell,white,white,enlarging,one,almond,free,white,smooth,close,brown,white,edible,numerous,white,pendant,true,smooth,partial,club,broad
grasses,smooth,convex,yellow,white,enlarging,one,anise,free,white,smooth,close,black,black,edible,numerous,white,pendant,true,smooth,partial,club,broad
paths,scaly,convex,brown,white,enlarging,one,almond,free,white,scaly,close,black,pink,edible,solitary,white,pendant,true,smooth,partial,rooted,broad
urban,fibrous,sunken,gray,white,enlarging,one,none,free,white,smooth,close,brown,black,edible,several,white,pendant,false,smooth,partial,equal,narrow
meadows,scaly,bell,yellow,white,enlarging,one,almond,free,white,smooth,close,brown,black,edible,scattered,white,pendant,true,smooth,partial,club,broad
meadows,smooth,bell,yellow,white,enlarging,one,anise,free,white,smooth,close,brown,gray,edible,scattered,white,pendant,true,smooth,partial,club,broad
meadows,scaly,bell,yellow,white,enlarging,one,anise,free,white,smooth,close,brown,gray,edible,numerous,white,pendant,true,smooth,partial,club,broad
grasses,scaly,bell,white,white,enlarging,one,anise,free,white,smooth,close,brown,brown,edible,scattered,white,pendant,true,smooth,partial,club,broad
grasses,smooth,flat,brown,white,tapering,one,none,free,white,smooth,crowded,black,black,edible,abundant,white,evanescent,false,smooth,partial,equal,broad
grasses,smooth,convex,white,white,enlarging,one,anise,free,white,smooth,close,black,brown,edible,scattered,white,pendant,true,smooth,partial,club,broad
grasses,scaly,flat,yellow,white,enlarging,one,almond,free,white,scaly,close,brown,white,edible,scattered,white,pendant,true,smooth,partial,rooted,broad
grasses,scaly,convex,yellow,white,enlarging,one,almond,free,white,smooth,close,black,white,edible,numerous,white,pendant,true,smooth,partial,club,broad
urban,fibrous,convex,gray,white,enlarging,one,none,free,white,smooth,close,brown,pink,edible,several,white,pendant,false,smooth,partial,equal,narrow
woods,fibrous,flat,yellow,white,tapering,one,anise,free,white,smooth,crowded,brown,pink,edible,several,white,pendant,true,smooth,partial,bulbous,narrow
meadows,scaly,bell,white,white,enlarging,one,anise,free,white,smooth,close,brown,gray,edible,scattered,white,pendant,true,smooth,partial,club,broad
woods,fibrous,flat,yellow,white,tapering,one,anise,free,white,smooth,crowded,brown,white,edible,several,white,pendant,true,smooth,partial,bulbous,narrow
paths,scaly,convex,brown,white,enlarging,one,almond,free,white,scaly,close,black,pink,edible,scattered,white,pendant,true,smooth,partial,rooted,broad
grasses,smooth,bell,yellow,white,enlarging,one,almond,free,white,smooth,close,black,black,edible,scattered,white,pendant,true,smooth,partial,club,broad
woods,smooth,flat,yellow,white,tapering,one,anise,free,white,smooth,crowded,brown,pink,edible,several,white,pendant,true,smooth,partial,bulbous,narrow
woods,smooth,convex,white,white,tapering,one,anise,free,white,smooth,crowded,purple,brown,edible,several,white,pendant,true,smooth,partial,bulbous,narrow
paths,scaly,flat,brown,white,enlarging,one,anise,free,white,scaly,close,brown,pink,edible,solitary,white,pendant,true,smooth,partial,rooted,broad
urban,scaly,convex,brown,white,enlarging,one,pungent,free,white,smooth,close,brown,white,poisonous,several,white,pendant,true,smooth,partial,equal,narrow
grasses,scaly,flat,brown,white,enlarging,one,almond,free,white,scaly,close,brown,brown,edible,solitary,white,pendant,true,smooth,partial,rooted,broad
grasses,smooth,convex,brown,white,tapering,one,none,free,white,smooth,crowded,brown,black,edible,scattered,white,evanescent,false,fibrous,partial,equal,broad
grasses,scaly,convex,white,white,enlarging,one,pungent,free,white,smooth,close,black,white,poisonous,scattered,white,pendant,true,smooth,partial,equal,narrow
urban,fibrous,flat,gray,white,enlarging,one,none,free,white,smooth,close,brown,brown,edible,solitary,white,pendant,false,smooth,partial,equal,narrow
grasses,fibrous,convex,gray,white,tapering,one,none,free,white,smooth,crowded,brown,brown,edible,scattered,white,evanescent,false,smooth,partial,equal,broad
grasses,scaly,convex,yellow,white,enlarging,one,anise,free,white,scaly,close,black,white,edible,scattered,white,pendant,true,smooth,partial,rooted,broad
grasses,smooth,convex,brown,white,tapering,one,none,free,white,smooth,crowded,black,black,edible,scattered,white,evanescent,false,smooth,partial,equal,broad
grasses,smooth,bell,white,white,enlarging,one,almond,free,white,smooth,close,black,white,edible,scattered,white,pendant,true,smooth,partial,club,broad
grasses,smooth,convex,white,white,enlarging,one,anise,free,white,smooth,close,brown,brown,edible,scattered,white,pendant,true,smooth,partial,club,broad
grasses,scaly,flat,brown,white,enlarging,one,anise,free,white,scaly,close,black,white,edible,solitary,white,pendant,true,smooth,partial,rooted,broad
urban,fibrous,sunken,brown,white,enlarging,one,none,free,white,smooth,close,brown,brown,edible,several,white,pendant,false,smooth,partial,equal,narrow
urban,fibrous,convex,brown,white,enlarging,one,none,free,white,smooth,close,brown,brown,edible,solitary,white,pendant,false,smooth,partial,equal,narrow
grasses,smooth,bell,white,white,enlarging,one,anise,free,white,smooth,close,black,black,edible,scattered,white,pendant,true,smooth,partial,club,broad
grasses,scaly,convex,yellow,white,enlarging,one,almond,free,white,smooth,close,black,gray,edible,scattered,white,pendant,true,smooth,partial,club,broad
meadows,scaly,convex,yellow,white,enlarging,one,anise,free,white,smooth,close,black,gray,edible,numerous,white,pendant,true,smooth,partial,club,broad
grasses,smooth,convex,brown,white,tapering,one,none,free,white,smooth,crowded,brown,brown,edible,abundant,white,evanescent,false,smooth,partial,equal,broad
grasses,smooth,convex,white,white,enlarging,one,almond,free,white,smooth,close,brown,gray,edible,scattered,white,pendant,true,smooth,partial,club,broad
grasses,scaly,flat,brown,white,enlarging,one,anise,free,white,scaly,close,brown,pink,edible,scattered,white,pendant,true,smooth,partial,rooted,broad
grasses,smooth,convex,yellow,white,enlarging,one,almond,free,white,smooth,close,black,brown,edible,numerous,white,pendant,true,smooth,partial,club,broad
grasses,smooth,bell,white,white,enlarging,one,almond,free,white,smooth,close,brown,gray,edible,scattered,white,pendant,true,smooth,partial,club,broad
grasses,scaly,convex,white,white,enlarging,one,almond,free,white,smooth,close,black,gray,edible,scattered,white,pendant,true,smooth,partial,club,broad
grasses,fibrous,convex,brown,white,tapering,one,none,free,white,smooth,crowded,black,pink,edible,scattered,white,evanescent,false,fibrous,partial,equal,broad
grasses,smooth,bell,yellow,white,enlarging,one,anise,free,white,smooth,close,black,brown,edible,numerous,white,pendant,true,smooth,partial,club,broad
grasses,scaly,flat,yellow,white,enlarging,one,anise,free,white,scaly,close,brown,white,edible,scattered,white,pendant,true,smooth,partial,rooted,broad
paths,scaly,convex,yellow,white,enlarging,one,almond,free,white,scaly,close,black,brown,edible,solitary,white,pendant,true,smooth,partial,rooted,broad
grasses,scaly,bell,white,white,enlarging,one,anise,free,white,smooth,close,brown,gray,edible,numerous,white,pendant,true,smooth,partial,club,broad
meadows,scaly,convex,yellow,white,enlarging,one,almond,free,white,smooth,close,black,brown,edible,numerous,white,pendant,true,smooth,partial,club,broad
grasses,scaly,convex,yellow,white,enlarging,one,almond,free,white,scaly,close,brown,white,edible,solitary,white,pendant,true,smooth,partial,rooted,broad
meadows,scaly,bell,white,white,enlarging,one,anise,free,white,smooth,close,black,brown,edible,scattered,white,pendant,true,smooth,partial,club,broad
meadows,scaly,bell,white,white,enlarging,one,almond,free,white,smooth,close,brown,gray,edible,scattered,white,pendant,true,smooth,partial,club,broad
meadows,smooth,convex,yellow,white,enlarging,one,almond,free,white,smooth,close,black,black,edible,numerous,white,pendant,true,smooth,partial,club,broad
grasses,smooth,convex,yellow,white,enlarging,one,anise,free,white,smooth,close,black,white,edible,numerous,white,pendant,true,smooth,partial,club,broad
urban,fibrous,sunken,gray,white,enlarging,one,none,free,white,smooth,close,black,gray,edible,solitary,white,pendant,false,smooth,partial,equal,narrow
woods,fibrous,convex,white,white,tapering,one,almond,free,white,smooth,crowded,purple,white,edible,several,white,pendant,true,smooth,partial,bulbous,narrow
meadows,smooth,convex,yellow,white,enlarging,one,almond,free,white,smooth,close,black,brown,edible,numerous,white,pendant,true,smooth,partial,club,broad
urban,scaly,convex,white,white,enlarging,one,pungent,free,white,smooth,close,brown,brown,poisonous,several,white,pendant,true,smooth,partial,equal,narrow
grasses,scaly,convex,yellow,white,enlarging,one,anise,free,white,scaly,close,brown,pink,edible,scattered,white,pendant,true,smooth,partial,rooted,broad
urban,fibrous,sunken,gray,white,enlarging,one,none,free,white,smooth,close,brown,pink,edible,solitary,white,pendant,false,smooth,partial,equal,narrow
grasses,scaly,convex,yellow,white,enlarging,one,anise,free,white,scaly,close,black,white,edible,solitary,white,pendant,true,smooth,partial,rooted,broad
woods,smooth,convex,yellow,white,tapering,one,anise,free,white,smooth,crowded,purple,pink,edible,several,white,pendant,true,smooth,partial,bulbous,narrow
urban,fibrous,sunken,brown,white,enlarging,one,none,free,white,smooth,close,brown,black,edible,solitary,white,pendant,false,smooth,partial,equal,narrow
grasses,smooth,convex,white,white,enlarging,one,pungent,free,white,smooth,close,black,black,poisonous,several,white,pendant,true,smooth,partial,equal,narrow
meadows,scaly,convex,white,white,enlarging,one,almond,free,white,smooth,close,brown,gray,edible,numerous,white,pendant,true,smooth,partial,club,broad
grasses,scaly,flat,brown,white,enlarging,one,pungent,free,white,smooth,close,black,pink,poisonous,several,white,pendant,true,smooth,partial,equal,narrow
grasses,smooth,flat,gray,white,tapering,one,none,free,white,smooth,crowded,brown,black,edible,abundant,white,evanescent,false,smooth,partial,equal,broad
meadows,smooth,convex,yellow,white,enlarging,one,anise,free,white,smooth,close,brown,gray,edible,scattered,white,pendant,true,smooth,partial,club,broad
grasses,smooth,convex,white,white,tapering,one,none,free,white,fibrous,crowded,black,brown,edible,scattered,white,evanescent,false,smooth,partial,equal,broad
grasses,smooth,bell,yellow,white,enlarging,one,almond,free,white,smooth,close,brown,white,edible,numerous,white,pendant,true,smooth,partial,club,broad
grasses,fibrous,flat,gray,white,tapering,one,none,free,white,smooth,crowded,brown,chocolate,edible,abundant,white,evanescent,false,smooth,partial,equal,broad
grasses,smooth,convex,white,white,enlarging,one,anise,free,white,smooth,close,black,brown,edible,numerous,white,pendant,true,smooth,partial,club,broad
meadows,smooth,bell,white,white,enlarging,one,anise,free,white,smooth,close,brown,brown,edible,scattered,white,pendant,true,smooth,partial,club,broad
grasses,smooth,bell,white,white,enlarging,one,anise,free,white,smooth,close,brown,white,edible,scattered,white,pendant,true,smooth,partial,club,broad
meadows,scaly,bell,white,white,enlarging,one,anise,free,white,smooth,close,brown,white,edible,scattered,white,pendant,true,smooth,partial,club,broad
woods,smooth,flat,white,white,tapering,one,anise,free,white,smooth,crowded,purple,white,edible,several,white,pendant,true,smooth,partial,bulbous,narrow
meadows,scaly,convex,yellow,white,enlarging,one,anise,free,white,smooth,close,black,gray,edible,scattered,white,pendant,true,smooth,partial,club,broad
woods,smooth,flat,white,white,tapering,one,almond,free,white,smooth,crowded,brown,pink,edible,several,white,pendant,true,smooth,partial,bulbous,narrow
urban,scaly,convex,white,white,enlarging,one,pungent,free,white,smooth,close,brown,white,poisonous,several,white,pendant,true,smooth,partial,equal,narrow
woods,fibrous,flat,white,white,tapering,one,anise,free,white,smooth,crowded,brown,white,edible,several,white,pendant,true,smooth,partial,bulbous,narrow
grasses,scaly,convex,yellow,white,enlarging,one,almond,free,white,smooth,close,brown,brown,edible,scattered,white,pendant,true,smooth,partial,club,broad
grasses,smooth,convex,brown,white,enlarging,one,pungent,free,white,smooth,close,brown,pink,poisonous,several,white,pendant,true,smooth,partial,equal,narrow
grasses,smooth,bell,yellow,white,enlarging,one,anise,free,white,smooth,close,brown,white,edible,numerous,white,pendant,true,smooth,partial,club,broad
paths,scaly,convex,brown,white,enlarging,one,almond,free,white,scaly,close,black,white,edible,solitary,white,pendant,true,smooth,partial,rooted,broad
meadows,scaly,bell,yellow,white,enlarging,one,anise,free,white,smooth,close,black,gray,edible,numerous,white,pendant,true,smooth,partial,club,broad
urban,fibrous,sunken,brown,white,enlarging,one,none,free,white,smooth,close,brown,black,edible,several,white,pendant,false,smooth,partial,equal,narrow
paths,scaly,flat,brown,white,enlarging,one,almond,free,white,scaly,close,black,white,edible,solitary,white,pendant,true,smooth,partial,rooted,broad
grasses,scaly,convex,yellow,white,enlarging,one,almond,free,white,smooth,close,black,black,edible,numerous,white,pendant,true,smooth,partial,club,broad
grasses,fibrous,convex,gray,white,tapering,one,none,free,white,fibrous,crowded,black,black,edible,scattered,white,evanescent,false,fibrous,partial,equal,broad
grasses,fibrous,flat,white,white,tapering,one,none,free,white,fibrous,crowded,brown,black,edible,abundant,white,evanescent,false,smooth,partial,equal,broad
meadows,scaly,convex,yellow,white,enlarging,one,anise,free,white,smooth,close,brown,white,edible,numerous,white,pendant,true,smooth,partial,club,broad
grasses,smooth,bell,yellow,white,enlarging,one,anise,free,white,smooth,close,black,black,edible,numerous,white,pendant,true,smooth,partial,club,broad
meadows,scaly,bell,white,white,enlarging,one,almond,free,white,smooth,close,black,gray,edible,numerous,white,pendant,true,smooth,partial,club,broad
grasses,scaly,convex,white,white,enlarging,one,almond,free,white,smooth,close,brown,white,edible,scattered,white,pendant,true,smooth,partial,club,broad
grasses,smooth,convex,brown,white,tapering,one,none,free,white,smooth,crowded,brown,pink,edible,abundant,white,evanescent,false,fibrous,partial,equal,broad
grasses,scaly,convex,white,white,enlarging,one,anise,free,white,smooth,close,brown,gray,edible,scattered,white,pendant,true,smooth,partial,club,broad
urban,fibrous,sunken,brown,white,enlarging,one,none,free,white,smooth,close,black,black,edible,several,white,pendant,false,smooth,partial,equal,narrow
woods,smooth,convex,white,white,tapering,one,almond,free,white,smooth,crowded,purple,white,edible,several,white,pendant,true,smooth,partial,bulbous,narrow
grasses,scaly,convex,brown,white,enlarging,one,anise,free,white,scaly,close,black,white,edible,scattered,white,pendant,true,smooth,partial,rooted,broad
grasses,scaly,bell,yellow,white,enlarging,one,almond,free,white,smooth,close,brown,black,edible,numerous,white,pendant,true,smooth,partial,club,broad
grasses,scaly,convex,white,white,enlarging,one,almond,free,white,smooth,close,brown,black,edible,numerous,white,pendant,true,smooth,partial,club,broad
meadows,scaly,bell,white,white,enlarging,one,almond,free,white,smooth,close,black,brown,edible,scattered,white,pendant,true,smooth,partial,club,broad
grasses,smooth,bell,yellow,white,enlarging,one,almond,free,white,smooth,close,black,gray,edible,scattered,white,pendant,true,smooth,partial,club,broad
meadows,smooth,bell,yellow,white,enlarging,one,anise,free,white,smooth,close,black,gray,edible,scattered,white,pendant,true,smooth,partial,club,broad
grasses,scaly,bell,yellow,white,enlarging,one,almond,free,white,smooth,close,black,brown,edible,numerous,white,pendant,true,smooth,partial,club,broad
urban,fibrous,convex,brown,white,enlarging,one,none,free,white,smooth,close,brown,black,edible,solitary,white,pendant,false,smooth,partial,equal,narrow
grasses,scaly,flat,brown,white,enlarging,one,anise,free,white,scaly,close,brown,brown,edible,solitary,white,pendant,true,smooth,partial,rooted,broad
grasses,scaly,convex,white,white,enlarging,one,almond,free,white,smooth,close,brown,black,edible,scattered,white,pendant,true,smooth,partial,club,broad
paths,scaly,flat,yellow,white,enlarging,one,anise,free,white,scaly,close,brown,white,edible,solitary,white,pendant,true,smooth,partial,rooted,broad
grasses,smooth,bell,white,white,enlarging,one,almond,free,white,smooth,close,brown,white,edible,scattered,white,pendant,true,smooth,partial,club,broad
meadows,smooth,bell,white,white,enlarging,one,almond,free,white,smooth,close,black,white,edible,scattered,white,pendant,true,smooth,partial,club,broad
grasses,scaly,convex,brown,white,enlarging,one,anise,free,white,scaly,close,black,white,edible,solitary,white,pendant,true,smooth,partial,rooted,broad
grasses,smooth,bell,white,white,enlarging,one,almond,free,white,smooth,close,black,black,edible,scattered,white,pendant,true,smooth,partial,club,broad
urban,fibrous,convex,gray,white,enlarging,one,none,free,white,smooth,close,brown,gray,edible,solitary,white,pendant,false,smooth,partial,equal,narrow
grasses,smooth,bell,yellow,white,enlarging,one,anise,free,white,smooth,close,brown,black,edible,scattered,white,pendant,true,smooth,partial,club,broad
woods,fibrous,convex,yellow,white,tapering,one,anise,free,white,smooth,crowded,purple,brown,edible,several,white,pendant,true,smooth,partial,bulbous,narrow
grasses,scaly,bell,yellow,white,enlarging,one,almond,free,white,smooth,close,black,white,edible,scattered,white,pendant,true,smooth,partial,club,broad
grasses,scaly,flat,yellow,white,enlarging,one,anise,free,white,scaly,close,brown,pink,edible,scattered,white,pendant,true,smooth,partial,rooted,broad
meadows,scaly,bell,white,white,enlarging,one,anise,free,white,smooth,close,black,white,edible,numerous,white,pendant,true,smooth,partial,club,broad
meadows,scaly,bell,white,white,enlarging,one,almond,free,white,smooth,close,black,black,edible,numerous,white,pendant,true,smooth,partial,club,broad
grasses,scaly,bell,yellow,white,enlarging,one,almond,free,white,smooth,close,brown,gray,edible,scattered,white,pendant,true,smooth,partial,club,broad
meadows,scaly,convex,yellow,white,enlarging,one,anise,free,white,smooth,close,brown,gray,edible,numerous,white,pendant,true,smooth,partial,club,broad
grasses,smooth,bell,yellow,white,enlarging,one,anise,free,white,smooth,close,brown,gray,edible,numerous,white,pendant,true,smooth,partial,club,broad
urban,scaly,convex,white,white,enlarging,one,pungent,free,white,smooth,close,brown,pink,poisonous,several,white,pendant,true,smooth,partial,equal,narrow
urban,fibrous,sunken,brown,white,enlarging,one,none,free,white,smooth,close,brown,gray,edible,solitary,white,pendant,false,smooth,partial,equal,narrow
urban,fibrous,flat,brown,white,enlarging,one,none,free,white,smooth,close,black,gray,edible,several,white,pendant,false,smooth,partial,equal,narrow
meadows,smooth,convex,yellow,white,enlarging,one,almond,free,white,smooth,close,brown,gray,edible,scattered,white,pendant,true,smooth,partial,club,broad
paths,scaly,flat,brown,white,enlarging,one,almond,free,white,scaly,close,black,pink,edible,scattered,white,pendant,true,smooth,partial,rooted,broad
grasses,scaly,convex,white,white,enlarging,one,pungent,free,white,smooth,close,black,black,poisonous,scattered,white,pendant,true,smooth,partial,equal,narrow
meadows,smooth,bell,white,white,enlarging,one,anise,free,white,smooth,close,brown,gray,edible,scattered,white,pendant,true,smooth,partial,club,broad
urban,fibrous,flat,gray,white,enlarging,one,none,free,white,smooth,close,black,pink,edible,several,white,pendant,false,smooth,partial,equal,narrow
grasses,scaly,bell,yellow,white,enlarging,one,anise,free,white,smooth,close,brown,gray,edible,numerous,white,pendant,true,smooth,partial,club,broad
paths,scaly,convex,brown,white,enlarging,one,almond,free,white,scaly,close,brown,white,edible,solitary,white,pendant,true,smooth,partial,rooted,broad
grasses,fibrous,convex,white,white,tapering,one,none,free,white,fibrous,crowded,black,pink,edible,scattered,white,evanescent,false,smooth,partial,equal,broad
woods,smooth,convex,white,white,tapering,one,anise,free,white,smooth,crowded,brown,white,edible,several,white,pendant,true,smooth,partial,bulbous,narrow
meadows,smooth,bell,white,white,enlarging,one,anise,free,white,smooth,close,brown,white,edible,scattered,white,pendant,true,smooth,partial,club,broad
woods,smooth,flat,yellow,white,tapering,one,almond,free,white,smooth,crowded,brown,white,edible,several,white,pendant,true,smooth,partial,bulbous,narrow
meadows,smooth,convex,yellow,white,enlarging,one,almond,free,white,smooth,close,brown,black,edible,numerous,white,pendant,true,smooth,partial,club,broad
urban,fibrous,flat,gray,white,enlarging,one,none,free,white,smooth,close,brown,gray,edible,solitary,white,pendant,false,smooth,partial,equal,narrow
grasses,smooth,bell,yellow,white,enlarging,one,almond,free,white,smooth,close,black,brown,edible,scattered,white,pendant,true,smooth,partial,club,broad
